criterion,rank,relation,target,probability,stability,novelty
similarity,1,R00,0010111000,0.30463340900695673,1.8,0.4
similarity,2,R05,1110111110,0.09175381954797782,1.8,0.4
similarity,3,R13,1010011110,0.06465782382166006,0.7,2.1
similarity,4,R14,0110101000,0.06465782382166006,0.7,2.1
similarity,5,R01,0110101111,0.05035556382400177,1.8,0.4
stability,1,R00,0010111000,0.7711727003914519,1.8,0.4
stability,2,R05,1110111110,0.08893558501389363,1.8,0.4
stability,3,R04,1100011010,0.03020212674133339,1.8,0.4
stability,4,R07,0011001110,0.03020212674133339,1.8,0.4
stability,5,R01,0110101111,0.03020212674133339,1.8,0.4
novelty,1,R13,1010011110,0.35108205576773394,0.7,2.1
novelty,2,R14,0110101000,0.35108205576773394,0.7,2.1
novelty,3,R11,0100100010,0.11061104774116902,0.7,2.1
novelty,4,R15,1110011000,0.11061104774116902,0.7,2.1
novelty,5,R10,0011100001,0.034848844255638604,0.7,2.1
hybrid,1,R00,0010111000,0.565204754755837,1.8,0.4
hybrid,2,R05,1110111110,0.10789818632738772,1.8,0.4
hybrid,3,R04,1100011010,0.04714311915834998,1.8,0.4
hybrid,4,R07,0011001110,0.04714311915834998,1.8,0.4
hybrid,5,R01,0110101111,0.04714311915834998,1.8,0.4
