epoch,accuracy,mean_weight
1,0.425,0.9366902206274805
2,0.505,0.939537218880611
3,0.43,0.8856011573824445
4,0.44,0.8445185674210285
5,0.46,0.8085853795589173
6,0.475,0.7931820252474114
7,0.47,0.7713334028170197
8,0.445,0.7312083105047921
9,0.375,0.6570550246376693
10,0.515,0.6599904943872203
11,0.49,0.6560833257865226
12,0.48,0.6417699986554373
13,0.485,0.6358991123505762
14,0.455,0.5996064105876046
15,0.43,0.5637160536296547
16,0.445,0.5397713010285339
17,0.455,0.5187243243082933
18,0.465,0.5073285288468916
19,0.435,0.47538415637714426
20,0.395,0.4404365386553783
21,0.45,0.4157571557171412
22,0.465,0.4010252179185458
23,0.46,0.3818434789578614
24,0.43,0.3557007974616954
25,0.49,0.35140478997657343
26,0.4,0.31898028433899983
27,0.41,0.29075177736070995
28,0.485,0.2835962371700494
29,0.44,0.26811156155477833
30,0.39,0.2425278722963181
